"month","2025","average","deviation"
"Jan",325297864000,260889844666.667,64408019333.3333
"Feb",295416903000,243985398333.333,51431504666.6667
"Mar",350608264000,281807168333.333,68801095666.6667
"Apr",283738547000,273809396000,9929151000
"May",283855892000,283940901000,-85009000
"Jun",272741399000,278705522000,-5964123000
"Jul",300543536000,280504455333.333,20039080666.6667
"Aug",270489922000,284868025666.667,-14378103666.6667
"Sep",283012744000,283072699333.333,-59955333.333313
"Oct",281515991000,291519357666.667,-10003366666.6667
"Nov",269360686000,270027236000,-666550000
"Dec",289987970000,269467203000,20520767000
